X3W2.16	93560771	1	1	1338	884	2219	2222	843772	2	1	8	19	19	27
X3W2.16	93560771	1	1	1338	884	2219	2222	877865	2	1	2	22	24	24
X3W2.16	93560771	1	1	1338	884	2219	2222	1795047	1	1	30	7	30	37
X3W2.16	93560771	1	1	1338	884	2219	2222	1457213	2	1	5	31	31	36
X3W2.16	93560771	1	1	1338	884	2219	2222	8471437	1	1	45	21	45	66
X3W2.16	93560771	1	1	1338	884	2219	2222	589743	2	1	14	26	26	40
X3W2.16	93560771	1	1	1338	884	2219	2222	2925708	2	1	2	23	23	25
X3W2.16	93560771	1	1	1338	884	2219	2222	1592729	1	1	93	23	93	116
X3W2.16	93560771	1	1	1338	884	2219	2222	556522	1	1	57	8	57	65
X3W2.16	93560771	1	1	1338	884	2219	2222	612609	1	1	24	7	24	31
X3W2.16	93560771	1	1	1338	884	2219	2222	570328	1	1	103	4	103	107
X3W2.16	93560771	1	1	1338	884	2219	2222	1044050	2	1	7	15	15	22
X3W2.16	93560771	1	1	1338	884	2219	2222	765543	1	1	51	1	51	52
X3W2.16	93560771	1	1	1338	884	2219	2222	5502961	1	1	227	29	227	256
X3W2.16	93560771	1	1	1338	884	2219	2222	4147748	1	1	152	16	151	168
X3W2.16	93560771	1	1	1338	884	2219	2222	755714	1	1	25	0	25	25
X3W2.16	93560771	1	1	1338	884	2219	2222	1145940	2	1	0	12	12	12
X3W2.16	93560771	1	1	1338	884	2219	2222	3631251	1	1	43	11	43	54
X3W2.16	93560771	1	1	1338	884	2219	2222	3552713	2	1	10	49	49	59
X3W2.16	93560771	1	1	1338	884	2219	2222	1560903	1	1	31	9	31	40
X3W2.16	93560771	1	1	1338	884	2219	2222	731231	2	1	10	60	60	70
X3W2.16	93560771	1	1	1338	884	2219	2222	4292675	1	1	46	19	46	65
X3W2.16	93560771	1	1	1338	884	2219	2222	864975	1	1	17	5	17	22
X3W2.16	93560771	1	1	1338	884	2219	2222	3466086	2	1	4	35	35	39
X3W2.16	93560771	1	1	1338	884	2219	2222	4808331	2	1	10	23	23	33
X3W2.16	93560771	1	1	1338	884	2219	2222	8216489	2	1	6	77	77	83
X3W2.16	93560771	1	1	1338	884	2219	2222	2902656	2	1	4	27	27	31
X3W2.16	93560771	1	1	1338	884	2219	2222	1574329	1	1	26	8	26	34
