IBS0	IBS1	IBS2	maxlen
X3W2.8	0.999975781406308	2.42185936917057e-05	0	38570
X3W3.1	0.982831742386997	0.0171682576130034	0	16895691
X3W3.10	0.999236299533949	0.000763700466051152	0	1808070
X3W3.13	0.00633584745176629	0.993664152548234	0	246611174
X3W3.14	0.99232192734022	0.00767807265977989	0	10982225
X3W3.15	0.996913216430046	0.00308678356995404	0	3687866
X3W3.16	0.999964975641915	3.50243580854318e-05	0	53770
X3W3.17	0.993496980135885	0.00650301986411517	0	8766599
X3W3.18	0.91386995227999	0.0861300477200101	0	37089300
X3W3.19	0.999750533355746	0.000249466644254356	0	614458
X3W3.2	0.00413224310860119	0.995867756891399	0	187341130
X3W3.20	0.743312769667873	0.256687230332127	0	130876887
X3W3.21	0.982452195116577	0.0175478048834234	0	22510043
X3W3.22	0.948564934055684	0.0514350659443164	0	67720289
X3W3.23	0.999895209802488	0.000104790197511792	0	255755
X3W3.24	0.987897420700243	0.0121025792997574	0	13112770
X3W3.3	0.453218584523718	0.546781415476282	0	201211354
X3W3.4	0.000373530226248066	0.999626469773752	0	201187315
X3W3.5	0.00225388352425581	0.584096591036687	0.413649525439057	172478270
X3W3.6	0.982226299345439	0.0177737006545611	0	23039545
X3W3.8	0.999429062796067	0.000570937203933306	0	1101315
X3W3.9	1	0	0	0
X3W4.1	0.473586479567957	0.526413520432043	0	180486232
X3W4.10	0.00998457855933125	0.990015421440669	0	246578215
X3W4.11	0.990952524928683	0.00904747507131694	0	18324194
X3W4.12	0.991850060675379	0.00814993932462063	0	14955426
X3W4.14	0.997912994393469	0.00208700560653143	0	4141686
X3W4.15	0.331623914882337	0.668376085117663	0	193792757
X3W4.16	0.997686700073882	0.00231329992611802	0	2632497
X3W4.17	0.988114590188313	0.0118854098116865	0	26709190
X3W4.18	0.995362455756969	0.00463754424303082	0	9079267
X3W4.19	0.992187854384575	0.0078121456154247	0	9172241
X3W4.2	0.9894259876149	0.0105740123850997	0	25929679
X3W4.20	0.996716579418188	0.00328342058181221	0	2586463
X3W4.21	5.18437512352728e-07	0.999999481562488	0	246578215
X3W4.22	0.984698597841691	0.0153014021583087	0	15596341
X3W4.23	0.998778136188207	0.00122186381179333	0	2197482
X3W4.24	0.998226876297355	0.00177312370264544	0	1374875
X3W4.3	1	0	0	0
